50
1003 560 412 1288 50 2078 263 1170 2064 2279 605 1507 1161 2071 1071 565 1681 420 2386 108 2191 1409 683 257 668 1013 332 364 2168 1045 2244 1238 1157 1452 172 1876 457 1484 810 603 557 1931 1807 2441 4 786 2422 358 764 2083 
1676 592 1590 1166 1379 1721 1277 624 2251 1214 2185 843 1655 1586 2471 886 1877 365 1104 2205 1741 1515 1960 2063 1980 565 2248 2228 218 173 2339 1178 2373 663 614 463 2149 857 295 2240 2282 1397 1185 1754 2045 1930 1259 2266 808 2235 
934 2009 1780 56 2397 2433 1620 1863 1556 1602 339 404 1049 1628 338 2158 1532 1454 2122 1569 1232 958 1762 440 1163 1391 2334 539 2103 2464 2004 1107 12 511 2014 1411 1664 718 1801 1299 385 1531 1445 1181 2182 1311 1847 435 1423 332 
584 2284 130 640 2375 271 1288 1326 2342 761 409 1321 2133 732 218 1703 713 240 393 1311 557 1914 491 552 844 1445 1642 1078 1027 936 1648 896 1388 2103 2088 1795 1199 2090 2440 754 1069 1892 2077 851 796 1034 692 2030 1152 818 
1345 1170 228 1407 262 848 908 1735 1869 345 958 1589 475 1980 1074 2478 822 732 557 826 1654 2407 771 776 241 1727 53 377 1557 760 2110 791 859 573 1873 2091 1053 1240 1736 185 1807 1475 2352 2484 639 72 242 585 569 185 
2302 2186 1943 1722 1971 1420 1974 1557 479 1014 1373 88 1993 153 1194 706 1196 2384 1700 1507 594 1825 193 1470 1842 1203 2361 2161 328 1135 1215 896 364 1554 1151 1035 1159 1213 2253 846 2410 1296 370 39 615 405 2420 754 510 864 
2369 1634 960 1836 721 1097 2032 1017 1089 310 1944 1974 910 2359 639 611 1721 1421 2121 1251 997 956 602 2215 514 1616 1709 1639 1745 886 1546 1727 1446 629 1671 1370 333 792 1973 1631 2254 1268 1733 1964 1360 2156 2161 668 446 1453 
578 282 1358 1645 1785 1856 142 288 2151 2090 303 1081 992 2191 756 1411 880 1907 804 687 1497 1243 350 1451 105 2458 75 473 1865 821 1294 1378 1842 1613 1692 1207 2180 730 909 554 1165 423 631 658 1061 2062 1190 1832 2193 1650 
470 2074 1380 1023 1366 810 1814 1056 1366 2060 1884 114 844 289 1773 2157 131 2140 1905 229 1316 591 1379 1091 1390 2091 1504 99 1785 1765 1375 2344 1224 625 2159 1031 169 1873 258 2057 1461 1203 2212 2428 2417 1621 967 2270 1487 1506 
763 1349 1075 2290 1617 459 2031 1330 1254 174 2329 710 506 1573 308 716 870 1661 1765 1929 23 1502 1029 900 1105 1118 512 2255 1092 1988 1145 1487 303 1939 2253 1784 1211 2370 2422 661 1306 464 765 2286 329 149 756 1099 1108 395 
2306 1326 242 179 48 1606 425 1992 91 74 1548 1095 1896 373 1456 1514 1391 32 1508 1830 1803 567 2433 1404 2370 1745 1950 2075 2031 326 937 2304 1362 2211 1407 352 2264 1473 507 1779 347 1351 1183 1810 2227 1042 2162 6 1709 1319 
942 1305 1142 1420 1230 1478 688 293 1052 1692 944 1837 1694 1069 2487 2037 894 49 2316 1704 1424 1282 2055 774 1480 438 924 1429 1318 2320 546 1684 123 13 1048 2091 2013 699 1514 407 38 1508 1890 1020 1934 1252 349 2171 1135 1605 
360 565 218 1733 1081 890 953 487 1231 1129 1151 467 467 800 1445 1434 2467 2238 2179 897 1625 1422 198 1803 454 2216 1053 347 1077 1810 2110 881 2072 1359 1213 628 2030 2383 2152 1917 1198 1560 1942 1179 1615 339 670 1990 2333 1100 
1115 1950 681 1763 1862 1125 77 1671 628 113 919 1589 135 733 1880 746 520 20 561 1522 1443 2191 2170 277 1038 1636 1588 1932 2419 1647 1457 2269 894 1982 2261 1401 1608 1261 1404 2406 18 187 1979 813 1913 2453 2397 1234 2367 772 
628 1551 40 1163 1156 819 644 467 536 476 756 1318 2371 1937 847 1407 1266 1081 2322 936 2453 2121 840 244 1468 529 294 1260 853 2323 2443 1236 1944 181 108 2019 2151 1308 2198 715 1363 674 761 1699 363 1964 478 679 1112 14 
2405 206 2230 513 2257 580 1275 758 288 580 54 2101 971 745 1972 544 2327 1192 739 1267 2363 1600 691 74 1150 326 1013 2498 1464 389 1754 418 1893 671 890 780 474 2191 844 735 2129 2051 591 1012 303 965 2390 950 1017 1701 
144 2404 1613 2170 853 2309 2343 1962 518 639 488 278 1769 1589 1158 367 514 2099 1622 270 446 401 1423 1825 1148 1816 280 927 2379 468 530 664 762 247 2476 1654 1728 1751 375 2408 217 1563 1702 2284 37 708 1531 2457 1620 343 
1885 1256 930 1792 455 2064 146 1517 2033 2200 2338 216 957 899 941 220 1196 963 554 1891 2204 1788 465 818 2191 617 409 46 1210 1234 2253 2390 612 2157 1843 1955 2069 1954 2359 503 631 2014 764 798 1792 2187 2390 1999 722 1230 
564 1490 705 850 804 432 299 1069 2258 920 1526 1714 1050 2414 1478 1665 2107 286 1381 1229 1473 874 833 912 825 517 514 476 148 68 769 865 110 927 861 470 618 2213 2369 2474 768 802 462 1412 578 2085 1435 2189 1431 910 
815 2259 182 2262 132 1250 2184 2254 1834 1457 1167 259 434 2282 1819 1195 521 239 553 1341 589 2498 606 1767 316 1050 401 2017 2304 1052 974 2387 951 1408 952 411 1587 1592 1378 829 850 819 1511 120 712 1600 1768 1537 914 2426 
2266 1208 804 2244 1101 752 2470 2434 491 2124 557 1591 1086 832 360 1594 138 825 2338 923 1827 864 1720 218 72 2103 104 1868 2404 1414 2138 963 890 107 2373 397 128 1144 1317 681 436 1872 688 712 2024 1997 2072 859 672 713 
2374 594 1122 270 997 1406 498 504 609 748 896 986 382 602 1564 1052 2464 447 2004 647 217 1319 1905 384 636 2373 2011 2096 1521 1624 1891 589 530 809 784 773 333 1895 786 1019 583 1798 1488 308 1798 358 1600 1976 430 2172 
1257 1963 1679 911 220 1843 242 553 1449 2046 2281 873 1237 1550 1766 49 589 1777 928 128 1490 1832 487 950 2080 900 602 569 1506 1275 262 940 2495 1497 2076 271 1619 2115 344 2001 11 2358 978 2034 816 240 2211 49 644 663 
470 1375 456 280 1512 2118 1295 287 797 1529 1642 2450 1653 1929 2097 1304 927 2413 1785 1391 722 975 840 1021 2085 1446 1763 432 277 941 998 1483 1815 294 143 381 2027 1336 309 185 569 950 440 451 1558 93 596 729 1459 118 
66 966 630 317 730 26 2103 706 558 1764 951 878 1163 1708 843 909 195 1280 11 619 1596 1181 1981 910 1293 1104 1941 1251 1215 1295 940 2493 1858 638 1571 255 2006 1490 1314 1914 1065 1450 1365 942 2042 562 2073 1574 849 941 
1420 2172 2350 1063 716 499 876 1491 1799 1888 2059 8 953 1016 2077 1042 210 2387 1951 2496 2235 1298 272 560 2371 1511 1680 1351 1495 575 23 1237 2375 106 1800 380 923 1823 1676 1529 2123 158 72 1976 876 1997 652 2150 1989 2431 
1014 1090 633 1686 91 1060 2414 253 1397 292 1003 181 719 2066 2071 2497 2253 2056 1987 1900 2311 487 1702 803 1962 2072 1299 85 1398 1506 416 1302 2219 708 1890 649 1507 1808 854 2110 2096 987 2223 2348 1483 313 2093 1085 1654 1682 
1958 1562 1841 2391 655 1602 2228 1299 1268 896 618 1730 1913 2333 1721 647 1077 1552 63 1254 473 2280 682 516 1453 1844 2185 1151 1576 1590 1103 719 2177 1815 928 315 955 496 858 2138 53 2177 978 1614 547 2438 2053 1298 1897 2031 
919 2208 258 838 1927 630 426 1445 968 1882 1272 1393 363 1722 236 1369 1057 1894 625 396 834 429 983 2014 2266 670 55 1639 899 30 1772 1858 1599 1756 2146 2249 1186 378 486 898 901 764 1782 1553 1855 1480 2243 165 1333 967 
537 2366 502 2303 1978 689 668 1734 155 52 1894 479 1188 736 1475 1688 1503 503 2160 707 1557 1812 1658 327 1221 379 467 1176 522 955 1779 48 832 142 2243 360 1582 2499 885 670 1911 1471 1087 1540 2106 2114 1775 834 213 238 
1112 1318 2315 699 1309 885 910 1741 906 407 2169 111 2335 1536 1489 1057 876 913 1499 152 1218 1018 2370 246 2106 2274 1371 296 848 209 655 90 728 2199 480 1054 1168 832 2256 2441 133 2280 1487 832 2409 578 560 2230 2006 398 
364 723 1490 1966 568 1628 1730 1100 1081 866 1225 1209 1493 1489 629 980 255 2039 221 374 639 1615 2460 72 1190 2391 309 2496 1962 2145 237 2114 655 1369 21 2338 1649 2302 984 1314 121 2192 997 2237 287 517 38 1612 2058 1396 
1259 158 1512 1893 1158 503 2272 832 732 1365 187 2494 104 246 199 1262 1623 74 595 1762 484 1306 1091 369 922 595 290 2209 533 1681 2427 2270 974 2183 1943 1053 1512 736 2043 783 444 333 1461 2166 1064 1837 1083 298 1328 1578 
1639 1170 233 2161 2450 654 2240 990 1898 2258 419 2203 488 1020 1975 1159 318 2174 2342 1387 2457 1351 1619 59 275 2036 937 1864 132 49 1972 2095 875 2441 2452 1406 2216 779 2057 790 1194 146 2027 2083 1683 212 920 93 551 29 
2007 1701 715 226 1396 2053 662 1980 2334 2410 1703 338 2052 211 2450 16 1557 2366 1868 1904 1542 2435 242 623 1235 165 1709 1324 63 1129 1738 1388 256 402 649 2138 1671 818 1508 707 1320 2032 1918 1506 599 1631 1061 1182 1023 820 
865 2268 1604 777 1231 1276 2416 1012 2187 341 2406 1358 1374 949 1237 1009 963 252 244 1026 792 2476 407 2133 966 945 1385 2151 1283 1703 1459 1118 765 165 178 2096 1216 742 1153 2133 711 79 1087 1046 915 843 797 1811 1689 27 
303 1945 815 2251 746 2178 483 527 1518 568 493 207 2449 1888 350 1369 2056 952 2197 2404 2448 339 2110 2226 206 1216 1118 2451 969 171 2239 1825 121 819 2368 2461 750 563 2313 803 2402 1808 385 1195 2160 683 365 281 194 2029 
519 1634 474 86 2115 101 1637 2096 794 2208 628 141 1244 1648 1417 1132 828 764 1406 675 1132 1099 1773 1757 530 1194 2281 2178 206 932 1320 147 2341 2172 590 212 148 1741 1001 2150 551 2418 636 2447 290 2057 306 972 46 1726 
1468 2410 1559 2113 1620 1077 109 1980 1663 730 974 964 1594 1618 1676 307 1537 2238 868 1942 351 1538 434 1189 558 1086 1600 1424 1306 1891 866 2123 890 637 896 438 2381 1137 1981 1205 2387 947 278 1743 1441 530 1663 286 2403 1139 
2134 776 2309 832 99 154 1025 145 357 576 1625 2457 885 433 700 1004 325 1325 1070 898 583 90 1701 1392 1653 2474 228 2319 707 1509 1319 164 1736 2086 805 104 1612 700 1511 2293 982 363 1953 1767 1538 1654 915 194 1208 52 
2022 286 1425 818 769 974 1530 1596 1063 1861 831 1696 1026 428 728 2030 2234 1714 1756 1023 849 1277 1891 455 659 1423 1434 2441 1567 2251 987 1813 625 1835 442 2350 1590 1908 1357 1155 642 1020 1175 0 16 1109 136 1318 717 1990 
312 211 2022 2443 565 2441 1164 1942 252 1038 1856 1164 1279 549 2179 1712 59 528 193 2458 1749 1441 1917 1253 396 1704 341 151 1966 339 952 384 234 445 704 2127 1690 1605 1031 1680 2409 1518 653 741 1189 2040 1769 1308 1883 1274 
1033 921 20 1031 1408 2222 2445 1925 464 995 1495 888 500 632 1093 616 1444 1362 1023 2102 2484 2278 1823 1120 463 949 1043 61 1637 1133 1843 2051 2131 1069 684 541 1632 1212 1534 2173 1869 0 2107 1595 1014 1891 1498 768 2073 2491 
