20
390 200 307 303 174 228 171 175 251 265 18 127 73 252 242 397 236 28 298 298 
49 321 128 182 192 270 287 134 213 137 160 203 337 67 58 111 247 230 287 51 
95 305 178 120 109 372 69 345  0 368 196 49 289 276 184 33 147 71 119 360 
160 279 115 97 298 173 209 98 355 48 149  2 305 327 74 366 251 144 264 251 
112 60 301 353 288 85 386 35 108 106 347 269 337 62 318 188 188 79 286 95 
127 35 98 384 314 124 303 117 268 167 368 332 179 221 237 67 306 176 55 367 
234  2 188 171 17 106 311 157 138 197 252 265 184 302 202 50 27 105 167 247 
224 88 132 355 309 369 22 168 145 29 135 331 32 275 103  1 333 366 158 71 
164 362 289 300 217 43 303 244 148 70 43 324 158 127 279 20 97 253 188 194 
283 275 126 267 150 181 268 35 99 378 107 215 292 396 116 109 39 19 305 139 
41 349 15 152 76 294 172 125 147 360 272 30 187 350 297 337 83 117 372 182 
95 31 398 388 379 66 49 370 37 355 61 78 304 76 182 332 322 354 10 70 
266 282 52 53 232 350 342 267 19 267 49 67 298 399 55 230 65 104 200 102 
11 214 181 315 290 363 200 213 270 210 235 88 92 287 142 276 189 36 143 209 
303 144 228 154 144 235 384 209 291 136 312 303 302 45 218 193 360 370 358 182 
180 145 271 224 32 365 52 174  1 147 335 305 292 163 11 36 398 347 197 289 
35 61 192 338 58 363 83 19 285 393 201 66 138 24 242 122 389 295 296 391 
42 183 248 286 298 211 274 296 158 24 138 193 85 282 83 144 197 166 115 83 
159 268 101 297 293 343 20 282 190 268 225 185  4 25 71 302 236 298 151 394 
322 241 140  7 123 223 103 321 390 218 356 101 87 57 399 380 352 371 214 143 
480
