20
303 260 312 288 250 78 63 70 364 279 5 107 261 71 271 365 181 20 86 308 
91 309 383 357 268 113 232 164 268 245 144 38 157 52 372 276 257 184 210 203 
157 231 107 241 204 386 122 258 364 183 76 392 90 166 379 121 277 224 251 314 
385 43 255 386 171 386 377 265 4 105 141 15 60 63 80 265 348 28 18 373 
239 378 373 63 14 63 249 157 295 40 182 197 185 354 245 30 159 66 108 35 
134 309 180 356 397 33 120 263 56 202 139 204 49 128 38 158 332 54 222 69 
132 158 62 40 263 191 134 239 203 264 304 7 12 111 314 111 164 18 101 399 
85 31 345 281 182 111 147 135 23 332 284 84 130 340 375 71 288 326 342 361 
309 121 233 232 218 203 213 340 293 311 157 214 391 352 144 145 242 378 127 336 
148 296 88 303 388 95 99 390 40 154 169 192 177 151 396 234 292 30 152 118 
245 370 228 207 162 48 308 135 169 245 158 189 375 380 374 378 222 132 57 26 
354 207 371 376 241 327 253 177 157 60 310 91 359 73 173 191 153 340 136 385 
207 275 52 384 339 172 42 185 69 85 202 86 243 122 71 20 74 157 79 114 
73 88 293 53 94 206 396 184 0 207 194 225 393 170 342 303 61 61 328 335 
315 296 364 254 351 335 59 313 353 46 310 96 270 39 215 105 320 54 310 64 
269 134 260 236 121 397 232 317 89 210 244 274 310 159 339 311 121 321 321 251 
297 156 102 15 14 316 209 139 145 86 46 27 146 29 371 70 133 192 173 31 
154 368 33 164 360 256 161 68 246 53 78 382 358 45 85 356 142 188 151 190 
3 81 392 91 356 311 180 307 304 87 297 343 150 251 5 58 375 173 365 121 
394 78 342 213 92 307 180 130 209 154 365 23 331 58 361 262 390 232 393 150 
