20
105 306 290 378 97 243 109 317 251 341 200 144 104 127 114 311 345 329 270 352 
281 142 362 51 375 357 78 375 370 342 197 76 248 39  6 345 234 67 215 85 
 8 367 229 65 94 344 376 392 225 246 296 106 341 258 157 268 167 236 195 138 
178 344 166 378 383 124 275 217 192 90 302 152  9 84 217 56 28 146 48 205 
344 344 312 237 155 69 106 322 257 253 60 387 198 178 365 181 303 241 351 47 
283 205 199 245 289 369 301 269 115 349 75 11 293 339 249 48  8 307 323 266 
160 335 253 358 114 171 140 17 364 43 64 199 200 215 44 42 184 345 263 251 
294 338 263 140 277 112 140 238 19 63 56 179 399 261 90 65 32 230 82 348 
225 98 148 25 313 144 67 50 90 331 301 336 221 116 76 51 180 169 241 151 
184 297 331 135 158 21 200 143 203 282 91 380 380 191 357 246 336 25 296 26 
308 149 362 81 218 391 132 398 112 373 150 296 222 33 32 381  6 232 76 161 
67 167 141 399 311 50 245 247 75 93 225 335 195 139 17 13 82 101 363 194 
75 65 91 249 98 75 230 56 307 258 217 374 378 310 374 289 361 171 88 388 
265 313 324 12  4 341 377 87 42 340 281 69  6 324 319 56 399 101 113 259 
360 282 233 338 193 159 179 106 283 267 94 100 180 370 112 184 263 89 223 258 
381 57 279 387 381 150 396 333 204 109 192 116 343 377  6 136 89 185 194 372 
52 241 72 184 163 184 320 27 225 96 285 206 153 116 146 134 267 94 67 71 
203 211 139 146 189 145 235 278 330 381 250 334 222 274 70 386 10 342 365 235 
38 202 393 191 318 91 278 137 185 345 160 340 157 299 39 298 44 226 176 374 
207 378 260 382 252 330 320 262 225 285 49 263 39 42 55 357 86 285 47 271 
769
