64
1103 3268 1416 1792 1098 430 2367 662 1100 1703 2037 1307 2357 7 1263 1725 2757 2148 3238 3172 2859 597 95 1093 3372 1105 360 2452 748 181 1520 342 3933 3044 388 596 1089 648 2850 2603 1757 503 2811 385 1340 1202 2506 338 1564 1287 3020 2920 3450 2006 347 2025 4021 368 1835 2570 3425 1691 31 3554 
427 2994 713 345 3428 1001 1149 2623 2220 687 3088 2937 1340 300 1586 2901 2895 2538 1381 3327 2862 3215 1945 3853 3415 3016 2918 309 2889 1858 3813 798 2799 978 556 3667 1702 949 1892 3412 3053 241 2696 455 2728 3034 2747 3020 3857 4016 3910 1134 60 3942 558 3381 3396 3198 2670 1752 791 2575 4054 271 
1243 3560 640 1415 252 463 4074 4079 3284 1762 4021 1327 245 3359 505 3001 22 255 2371 1783 663 316 2604 2020 178 3764 2711 1207 1344 2150 2694 2489 805 1433 153 1336 1882 27 1061 148 405 167 3821 2166 3479 3936 128 1569 1810 2682 3375 3040 564 1272 680 1695 724 3983 3123 1686 3128 3498 137 288 
897 2183 844 3498 3764 638 1064 4038 2661 3170 1412 95 2 3840 1252 2055 1721 2757 3806 3181 2311 3964 2230 746 2270 3636 2457 2618 3186 1855 3443 3400 3489 1623 2925 289 1533 3804 2566 11 375 2617 2765 943 425 2660 1976 113 3007 643 3108 992 2819 1964 874 2121 517 3013 1818 3942 1123 1162 1751 1588 
826 173 975 994 1577 3352 2517 1509 2814 3150 28 2856 1536 495 2962 97 3289 1114 3286 3967 1565 1645 984 1087 1915 2920 780 2014 3199 1775 3147 1513 1 2862 326 3120 558 1815 423 2009 1328 1734 198 400 2685 2054 3332 2780 2745 1261 712 3725 585 1698 1300 1618 3190 575 1475 1895 1849 465 1889 2155 
2473 2940 678 591 1790 2236 2449 3691 2113 4038 542 939 1682 269 675 1254 21 2784 2509 591 378 1328 3121 4 3624 1904 401 964 262 2709 2990 3006 4070 2365 197 132 2958 4076 935 1054 1635 3953 888 59 2996 871 3332 1411 416 3799 1977 3591 4006 251 2117 1242 967 1053 717 1209 90 2206 1734 4069 
3180 3603 3700 786 209 3210 3069 1399 3019 4074 3625 2054 1366 1912 1721 1462 3598 2934 3168 1787 702 2790 610 2648 3718 876 4040 1034 1448 1361 61 1765 751 1444 2185 2109 444 123 2215 251 3758 3415 1412 3535 2285 1957 1111 132 3604 3425 407 1135 2745 1493 3486 2049 2457 639 2264 3452 2917 3089 2471 1218 
291 3474 1495 73 835 4002 2489 1835 3903 1498 1758 1626 1517 82 1138 753 1124 828 2866 4005 393 1709 1803 1882 2613 124 2129 3794 1540 2627 3736 3968 3773 1411 1843 3451 1113 4068 2375 2702 1970 2457 2442 2156 1481 4066 3997 3073 3508 3499 1796 995 2850 1106 1470 999 3980 3718 645 2000 1019 3914 1188 3875 
3440 3865 1904 1046 3571 2340 2916 4006 3131 2743 3805 3272 3062 1721 2158 3255 183 3922 3297 3692 1402 1959 2763 2860 724 4033 1483 2619 3515 3211 2911 3502 2287 3578 2914 2654 773 1351 3622 3321 2830 3416 554 3634 1512 1853 2936 2072 3616 3285 3742 3717 2179 2961 326 3245 1856 2384 2676 2518 1467 1386 3164 1830 
1776 1993 478 2200 130 48 2463 2825 3168 1951 2245 2415 2834 1487 3918 808 166 3288 2062 1392 1585 3315 3651 2541 2564 601 726 3173 2157 3914 2865 2447 1831 1065 951 2311 3423 1988 4069 1114 611 434 515 3393 3305 2262 1158 1259 3322 2048 3845 1651 2681 2738 214 1649 596 1023 2885 2476 3142 399 1392 1261 
838 3264 962 2031 2703 3047 3338 1394 2381 1460 1847 2670 1761 2227 1458 1637 465 2287 856 1745 2895 1457 531 1981 356 2406 2580 2928 441 1438 687 2883 3842 3377 3794 916 776 3708 1827 3283 1873 4041 2998 954 3693 4045 1896 665 2016 3146 3802 3535 2215 213 1293 1365 617 4018 3991 3444 828 1755 1152 151 
2064 799 3004 3131 3004 872 3652 2818 3235 3605 3283 3559 770 2693 2106 1676 473 181 1376 1200 3188 257 1754 2236 2709 1543 1571 3452 1344 681 1656 2795 1571 3632 2898 1063 927 142 3201 643 887 188 482 4027 3604 1858 189 322 3186 1749 1213 1720 2731 3354 3724 3448 2334 3465 523 2893 1596 2156 3627 580 
2799 7 2155 3996 935 3538 1518 2010 1 2530 3128 505 790 1638 901 959 3678 332 1222 299 320 3587 3385 267 1847 2396 419 2217 3746 2442 2861 165 552 3144 2009 1246 3781 1305 2207 394 118 3499 1832 3942 3965 2645 3366 263 2130 1215 1870 846 2086 3745 3571 761 2068 3748 3392 2391 231 2404 1810 532 
386 2199 2160 3122 496 583 3239 2072 3337 571 2054 1220 2749 1908 1075 3613 1280 2003 2089 3684 338 3032 1487 1224 2282 1157 1845 792 2430 3424 1389 1171 2225 3224 772 4059 1050 831 1052 1544 2029 4022 3623 217 1609 1062 2370 518 2333 810 3372 1457 2231 1163 993 2554 235 1059 3031 3506 3804 3298 980 2087 
362 495 2666 3102 1592 2022 2833 2014 3416 64 735 1129 3478 2256 1766 1478 862 362 1578 3705 1099 2462 317 2069 333 2210 377 744 373 333 2522 3796 3936 1088 2933 3901 830 543 1945 3102 894 4093 2433 566 1560 4054 434 1120 3190 3893 3319 1 1023 3574 247 1691 1346 3878 2160 3710 3004 1542 2322 3229 
71 303 3322 2430 31 1487 2505 843 2705 3345 3937 3846 3906 1435 2108 2778 1817 2865 1384 908 458 1655 35 3856 512 1747 2831 3640 550 2161 3346 1927 3027 2144 4044 3364 3024 2265 2998 4074 3270 1952 3028 412 649 2180 790 2102 4091 1536 3409 1119 414 2564 1492 3322 1722 205 3498 475 807 2032 2924 1942 
952 2935 3776 3700 3908 802 370 1663 3666 463 45 701 864 2292 1237 3449 3536 584 3204 4028 368 385 800 3547 3236 57 3734 2858 1842 1514 949 1742 938 3608 3753 944 3440 3726 2322 3470 3432 4032 1984 3371 3900 2383 2573 3495 333 1196 1240 1257 2355 2004 793 312 1779 2617 1574 3561 188 1473 3969 307 
350 1511 3675 1310 840 1792 2730 3482 572 1944 2018 3500 3473 3579 2387 3523 1316 975 542 1321 2781 2526 2773 2197 729 1522 1710 4061 3129 3289 612 1224 3206 2696 1707 3330 1984 2652 2126 297 3842 379 4070 772 4051 3417 824 1235 3595 2135 2604 961 607 1670 2406 1910 1932 3208 3203 2249 28 663 2546 403 
3800 1440 2668 1950 3019 2183 3601 1213 4078 1934 2337 3573 373 4048 595 3033 2741 3303 3286 1523 1456 3757 2017 862 1599 2336 3577 625 3290 95 3519 2454 3079 721 1651 824 2653 869 521 1754 2868 1523 1766 325 2028 4033 2871 3546 982 3618 1006 773 1218 1338 2395 978 2598 2268 2915 2202 3303 404 3935 213 
455 4032 403 19 2156 3801 1097 2054 265 2768 1673 439 683 2451 3192 2009 3106 2734 843 1083 2442 3854 2790 598 2165 2786 3861 2310 1206 922 2661 3414 1997 3089 3232 116 1258 199 3812 2755 2976 1607 3935 1552 2855 2984 3753 2268 77 814 2238 1239 2043 784 919 2670 96 84 3427 891 700 1495 1127 1819 
4043 2409 623 2206 2252 276 1519 919 3884 2685 699 1810 1236 1636 1120 485 1804 2630 3101 543 3594 2594 1153 2462 2843 3160 1186 2493 3949 2476 3319 2089 1399 2922 2003 3797 1797 2468 1919 2308 2531 2967 3058 3971 3366 3116 2607 1529 274 1178 3900 2902 939 3880 2234 3945 3035 1040 3366 3982 3388 639 3499 3204 
3715 1977 2977 2909 3210 1626 2982 910 1017 4023 87 3110 2960 355 1708 2588 2322 2254 3565 449 2769 3847 1365 3412 4051 3746 2369 2740 2206 1460 2581 560 2725 1531 1708 2170 79 1307 1145 3515 4000 3843 3903 3008 390 3182 2665 1361 962 3974 3591 2210 3953 2210 2405 1763 3639 1328 1354 754 2055 2734 4042 2353 
912 4050 3016 625 839 1482 3596 1037 2317 926 509 3860 2686 1457 4091 158 4054 870 3931 1343 1919 3294 3584 410 2107 736 1938 525 3050 2770 1630 906 3321 228 1994 1925 103 2636 3699 1289 1653 2475 3045 2278 3050 1935 3062 1797 1536 274 3007 3804 750 3743 1592 1276 2323 1236 111 967 3772 387 3941 1344 
1170 1747 389 2043 3235 1668 1474 307 2059 3920 2636 3578 1343 3692 3310 1419 2293 1838 1799 3771 2995 712 3874 2702 1523 2610 2613 1510 1264 3110 1651 1111 529 325 2510 1557 1774 87 3597 2831 2051 1200 1157 1301 4080 2221 2935 2868 1386 1630 3846 34 1474 62 4051 3540 3600 1053 2359 2094 3324 2591 284 2258 
1832 476 2936 1561 2109 4008 2919 1824 2705 3054 3044 1786 3954 1718 2596 2307 530 326 2960 84 3854 4068 2397 3154 2717 1465 3017 3169 3921 3280 3827 3255 3981 3134 2903 3659 900 3676 3046 3051 3561 2352 3006 3693 313 2794 1419 509 4001 3210 3705 3734 3980 3230 1749 1420 3789 1065 2623 1605 3686 1952 2446 3080 
243 1550 2112 1773 1462 2135 1948 500 2624 665 2407 2098 3256 2478 1087 2854 2251 3790 919 3114 2352 850 3407 2821 2006 1683 1774 2973 1709 4081 1151 1226 2830 1775 2823 2629 1480 2940 159 959 456 77 1073 782 868 2405 1747 2946 580 182 187 3158 2029 737 3038 66 3308 1562 3626 1070 3739 3367 3420 1792 
1939 2183 1662 1174 1198 1967 769 3535 183 3183 1395 4036 177 628 2012 3093 2752 3303 1467 1117 440 3122 2968 2759 3905 3554 1606 2490 1699 2215 2999 1200 2612 1657 1915 1061 3419 3797 1239 3754 3392 805 126 280 2578 3902 3055 2018 2804 3 3178 2948 1669 550 3984 536 2570 2831 3990 2055 2363 3541 293 476 
167 3689 1234 2356 1220 1234 1589 1746 1943 658 680 3023 3836 3112 414 3054 1427 2223 2205 2830 71 2468 1241 4024 636 3269 1135 3288 2772 2580 2363 1161 670 4090 3926 1545 2525 3977 303 2252 2544 2778 836 1708 2275 1941 382 1853 1873 1935 2087 3647 755 2446 649 3885 1994 1064 2340 2034 2533 3273 2443 1211 
463 3282 475 3815 1433 1759 2521 2331 2175 3617 935 2675 2874 490 3619 2771 1762 3912 733 603 3197 2760 2482 3577 808 1116 3081 2840 3808 1879 426 3190 2542 2196 310 2579 2797 1207 3655 3653 377 139 3876 489 886 3467 1057 2483 1274 1148 2705 1703 1240 2103 1385 2977 1994 645 1395 2574 3130 3362 2859 1981 
173 2276 3130 4048 1740 1269 1676 204 3345 2108 2832 2512 2314 3803 2572 2275 3149 3537 2842 3174 3577 3774 2754 2472 740 1479 1973 2712 3686 912 2468 1173 1473 1382 3003 2658 44 1407 1214 2869 3450 3416 1726 238 3436 3134 119 3941 400 1001 2633 1756 979 3394 2258 2964 2986 1862 3876 1147 3033 514 2728 770 
735 1982 654 1549 2046 1590 1264 2564 3818 2563 2946 2055 3086 3609 504 1598 885 361 2037 2893 3163 1191 2218 1767 849 550 531 378 1287 479 1482 1288 3001 2960 3463 278 2361 2305 3381 3004 1941 2657 3249 477 2660 3792 801 2161 2738 758 3567 254 1925 2000 3425 806 1292 907 215 3417 1123 3720 3232 3754 
3589 3712 888 3008 2255 449 3490 227 1965 3223 1950 822 2019 2758 648 772 2554 1842 13 306 3909 2978 1034 2516 1551 2713 1475 1500 3682 1380 2748 1518 374 50 1336 2127 1461 1629 75 3067 2407 199 926 725 3583 95 2239 1273 3585 3779 3106 1838 1934 1792 953 1655 1422 2164 1323 2760 376 1493 1460 726 
1985 586 3480 2823 2270 3767 2373 393 248 2326 516 2430 44 0 2139 3925 3451 3148 2563 52 3669 718 3457 1681 3261 65 3428 3552 1561 319 3354 3943 3224 2156 366 2605 1344 1203 1698 2065 3219 2472 3621 502 3037 3085 3569 1308 2333 1136 2947 2954 2957 2545 3192 2471 3792 1826 1729 745 3768 2823 2691 1956 
1456 2108 3981 3588 1996 1078 119 2070 1132 2210 3411 2304 2183 2281 19 2897 2969 3541 3191 2675 299 2381 1456 317 2300 1084 918 4005 1993 2192 387 2451 702 2399 202 208 1913 2851 2263 3101 2743 3622 3813 3424 1949 3321 3926 2298 2469 286 690 52 2851 4037 2111 215 627 179 56 3034 1986 319 4014 1334 
3445 1399 2040 3798 1337 2399 3032 170 2984 1113 3116 4059 1172 160 1614 1817 500 2286 3592 527 3945 3646 3383 3576 3179 1964 763 331 3861 3704 3224 3218 2441 2089 492 1625 3073 206 3981 1089 3443 1888 2174 820 1248 3651 2446 179 3386 491 2126 1866 3568 1947 1965 37 535 1609 3122 3005 2102 2974 2516 939 
1198 3865 1401 1949 196 1363 1033 1894 77 1373 303 3119 2037 581 1964 715 3627 2744 1367 2345 173 193 1205 226 2219 2992 1585 2291 1946 1557 760 132 1688 2540 883 1254 631 3283 866 3228 3689 3701 3474 400 1862 2827 2363 3175 380 1017 760 750 2963 148 2915 2995 3931 2307 1356 2225 2997 3395 3478 2851 
