32
79 196 392 768 74 430 319 662 76 679 1013 283 309 7 239 701 709 100 166 100 811 597 95 69 300 81 360 404 748 181 496 342 
861 996 388 596 65 648 802 555 733 503 763 385 316 178 458 338 540 263 972 872 378 982 347 1001 949 368 811 522 353 667 31 482 
427 946 713 345 356 1001 125 575 172 687 16 889 316 300 562 853 847 490 357 255 814 143 921 781 343 968 870 309 841 834 741 798 
751 978 556 595 678 949 868 340 1005 241 648 455 680 986 699 972 785 944 838 110 60 870 558 309 324 126 622 728 791 527 982 271 
219 488 640 391 252 463 1002 1007 212 738 949 303 245 287 505 953 22 255 323 759 663 316 556 996 178 692 663 183 320 102 646 441 
805 409 153 312 858 27 37 148 405 167 749 118 407 864 128 545 786 634 303 992 564 248 680 671 724 911 51 662 56 426 137 288 
897 135 844 426 692 638 40 966 613 98 388 95 2 768 228 7 697 709 734 109 263 892 182 746 222 564 409 570 114 831 371 328 
417 599 877 289 509 732 518 11 375 569 717 943 425 612 952 113 959 643 36 992 771 940 874 73 517 965 794 870 99 138 727 564 
826 173 975 994 553 280 469 485 766 78 28 808 512 495 914 97 217 90 214 895 541 621 984 63 891 872 780 990 127 751 75 489 
1 814 326 48 558 791 423 985 304 710 198 400 637 6 260 732 697 237 712 653 585 674 276 594 118 575 451 871 825 465 865 107 
425 892 678 591 766 188 401 619 65 966 542 939 658 269 675 230 21 736 461 591 378 304 49 4 552 880 401 964 262 661 942 958 
998 317 197 132 910 1004 935 30 611 881 888 59 948 871 260 387 416 727 953 519 934 251 69 218 967 29 717 185 90 158 710 997 
108 531 628 786 209 138 1021 375 971 1002 553 6 342 888 697 438 526 886 96 763 702 742 610 600 646 876 968 10 424 337 61 741 
751 420 137 61 444 123 167 251 686 343 388 463 237 933 87 132 532 353 407 111 697 469 414 1 409 639 216 380 869 17 423 194 
291 402 471 73 835 930 441 811 831 474 734 602 493 82 114 753 100 828 818 933 393 685 779 858 565 124 81 722 516 579 664 896 
701 387 819 379 89 996 327 654 946 409 394 108 457 994 925 1 436 427 772 995 802 82 446 999 908 646 645 976 1019 842 164 803 
368 793 880 22 499 292 868 934 59 695 733 200 1014 697 110 183 183 850 225 620 378 935 715 812 724 961 459 571 443 139 863 430 
239 506 866 606 773 327 550 249 782 344 554 562 488 829 888 24 544 213 670 645 131 913 326 173 832 336 628 470 443 362 92 806 
752 969 478 152 130 48 415 777 96 927 197 367 786 463 846 808 166 216 14 368 561 243 579 493 516 601 726 101 109 842 817 399 
807 41 951 263 351 964 997 90 611 434 515 321 233 214 134 235 250 0 773 627 633 690 214 625 596 1023 837 428 70 399 368 237 
838 192 962 1007 655 999 266 370 333 436 823 622 737 179 434 613 465 239 856 721 847 433 531 957 356 358 532 880 441 414 687 835 
770 305 722 916 776 636 803 211 849 969 950 954 621 973 872 665 992 74 730 463 167 213 269 341 617 946 919 372 828 731 128 151 
16 799 956 59 956 872 580 770 163 533 211 487 770 645 58 652 473 181 352 176 116 257 730 188 661 519 547 380 320 681 632 747 
547 560 850 39 927 142 129 643 887 188 482 955 532 834 189 322 114 725 189 696 683 282 652 376 286 393 523 845 572 108 555 580 
751 7 107 924 935 466 494 986 1 482 56 505 790 614 901 959 606 332 198 299 320 515 313 267 823 348 419 169 674 394 813 165 
552 72 985 222 709 281 159 394 118 427 808 870 893 597 294 263 82 191 846 846 38 673 499 761 20 676 320 343 231 356 786 532 
386 151 112 50 496 583 167 24 265 571 6 196 701 884 51 541 256 979 41 612 338 984 463 200 234 133 821 792 382 352 365 147 
177 152 772 987 26 831 28 520 1005 950 551 217 585 38 322 518 285 810 300 433 183 139 993 506 235 35 983 434 732 226 980 39 
362 495 618 30 568 998 785 990 344 64 735 105 406 208 742 454 862 362 554 633 75 414 317 21 333 162 377 744 373 333 474 724 
864 64 885 829 830 543 921 30 894 1021 385 566 536 982 434 96 118 821 247 1 1023 502 247 667 322 806 112 638 956 518 274 157 
71 303 250 382 31 463 457 843 657 273 865 774 834 411 60 730 793 817 360 908 458 631 35 784 512 723 783 568 550 113 274 903 
979 96 972 292 976 217 950 1002 198 928 980 412 649 132 790 54 1019 512 337 95 414 516 468 250 698 205 426 475 807 1008 876 918 
